,time,Day_of_week,Sex_of_driver,Area_accident,Type_of_vehicle,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions
241,9:47:00,Saturday,Male,Other,Pick up upto 10Q,other,Crossing,Asphalt roads,Wet or damp,Daylight,Raining
242,9:47:00,Saturday,Male,Office areas,Pick up upto 10Q,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Daylight,Raining
243,11:19:00,Monday,Female, Church areas,Automobile,other,No junction,Asphalt roads,Dry,Daylight,Normal
244,11:19:00,Monday,Female,Other,Long lorry,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
245,13:13:00,Friday,Female,Other,Automobile,One way,No junction,Asphalt roads,Dry,Daylight,Normal
246,13:13:00,Friday,Male,Office areas,Public (13?45 seats),Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
247,15:55:00,Thursday,Male,Office areas,Lorry (41?100Q),One way,Y Shape,Other,Wet or damp,Daylight,Raining
249,15:55:00,Thursday,Unknown,Office areas,Other,Double carriageway (median),Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
251,10:47:00,Thursday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
253,15:00:00,Thursday,Male,Other,Pick up upto 10Q,Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
254,18:40:00,Thursday,Male,Other,Pick up upto 10Q,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
257,3:55:00,Monday,Unknown,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining and Windy
258,17:45:00,Sunday,Male,Office areas,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
260,17:45:00,Sunday,Male,Office areas,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
261,17:45:00,Sunday,Male,Residential areas,Automobile,Two-way (divided with broken lines road marking),Crossing,Other,Dry,Darkness - lights lit,Normal
262,19:10:00,Friday,Male,School areas,Pick up upto 10Q,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
263,10:13:00,Thursday,Male,Office areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
264,10:13:00,Thursday,Male,Other,Public (12 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
265,9:48:00,Friday,Male,Other,Automobile,Double carriageway (median),Crossing,Asphalt roads,Dry,Daylight,Normal
266,9:48:00,Friday,Male,Other,Other,Double carriageway (median),Crossing,Asphalt roads,Dry,Daylight,Normal
267,16:20:00,Monday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
268,16:20:00,Monday,Unknown,Office areas,Stationwagen,Double carriageway (median),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
269,19:40:00,Thursday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
272,19:32:00,Friday,Unknown,Office areas,Automobile,One way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
273,19:32:00,Friday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
275,17:35:00,Saturday,Male,Other,Public (12 seats),Undivided Two way,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
276,17:35:00,Saturday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
277,18:40:00,Tuesday,Male,Residential areas,Stationwagen,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
278,18:40:00,Tuesday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Crossing,Earth roads,Dry,Darkness - lights lit,Normal
279,15:47:00,Thursday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
280,14:57:00,Sunday,Male,Other,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
281,17:25:00,Friday,Male,Other,Pick up upto 10Q,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal
283,17:25:00,Friday,Male, Industrial areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal
284,17:22:00,Sunday,Male, Church areas,Automobile,Double carriageway (median),Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
285,17:22:00,Sunday,Male,Other,Public (13?45 seats),Undivided Two way,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
286,16:05:00,Monday,Male,Other,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
287,16:05:00,Monday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
288,16:05:00,Monday,Male,Office areas,Public (12 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
289,9:00:00,Thursday,Male,Residential areas,Motorcycle,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Daylight,Other
290,9:00:00,Thursday,Male, Industrial areas,Public (12 seats),Undivided Two way,Crossing,Asphalt roads,Wet or damp,Daylight,Other
291,8:55:00,Saturday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
292,10:44:00,Friday,Male,Other,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
293,16:18:00,Wednesday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
294,17:21:00,Thursday,Male,Residential areas,Stationwagen,Undivided Two way,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
295,17:21:00,Thursday,Male,Office areas,Pick up upto 10Q,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
296,17:21:00,Thursday,Male,Residential areas,Automobile,other,No junction,Earth roads,Wet or damp,Darkness - lights lit,Normal
297,17:21:00,Thursday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
299,15:40:00,Monday,Male,Residential areas,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
300,15:40:00,Monday,Male,School areas,Automobile,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
301,15:40:00,Monday,Female, Hospital areas,Public (13?45 seats),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
302,16:46:00,Thursday,Male,Other,Public (13?45 seats),Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy
303,16:46:00,Thursday,Unknown,School areas,Automobile,Double carriageway (median),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy
304,16:46:00,Thursday,Male,Other,Public (12 seats),other,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy
305,17:45:00,Sunday,Male, Industrial areas,Public (12 seats),Undivided Two way,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
306,17:45:00,Sunday,Male, Church areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Other,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
307,11:45:00,Saturday,Female,Office areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Snow,Daylight,Snow
308,11:45:00,Saturday,Male,Other,Pick up upto 10Q,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Snow,Daylight,Snow
309,11:45:00,Saturday,Unknown,Office areas,Pick up upto 10Q,Double carriageway (median),Y Shape,Asphalt roads,Snow,Daylight,Snow
310,11:45:00,Saturday,Male,Office areas,Lorry (41?100Q),Double carriageway (median),Y Shape,Asphalt roads,Snow,Daylight,Snow
311,12:00:00,Saturday,Male,Office areas,Automobile,Double carriageway (median),Crossing,Asphalt roads,Snow,Daylight,Snow
312,12:00:00,Saturday,Male,Residential areas,Stationwagen,Double carriageway (median),Crossing,Asphalt roads,Snow,Daylight,Snow
313,12:00:00,Saturday,Male,Office areas,Motorcycle,Double carriageway (median),Crossing,Asphalt roads,Snow,Daylight,Snow
315,7:50:00,Friday,Male, Industrial areas,Other,One way,No junction,Asphalt roads,Wet or damp,Daylight,Snow
316,7:50:00,Friday,Male,Other,Automobile,One way,No junction,Gravel roads,Wet or damp,Daylight,Snow
317,19:55:00,Sunday,Male,Office areas,Automobile,Double carriageway (median),No junction,Asphalt roads,Dry,Darkness - no lighting,Snow
321,20:30:00,Sunday,Male,Office areas,Other,Double carriageway (median),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
322,20:30:00,Sunday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
323,20:30:00,Sunday,Male,Office areas,Other,Undivided Two way,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
324,20:30:00,Sunday,Male,Other,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
325,13:57:00,Wednesday,Unknown,Other,Pick up upto 10Q,Undivided Two way,Crossing,Asphalt roads,Snow,Daylight,Normal
326,13:57:00,Wednesday,Male,  Recreational areas,Public (13?45 seats),Undivided Two way,Crossing,Asphalt roads,Snow,Daylight,Normal
327,13:57:00,Wednesday,Female, Church areas,Automobile,Undivided Two way,Crossing,Asphalt roads,Snow,Daylight,Normal
328,13:57:00,Wednesday,Female,  Recreational areas,Pick up upto 10Q,other,Crossing,Asphalt roads,Snow,Daylight,Normal
329,13:45:00,Sunday,Male,School areas,Automobile,other,No junction,Asphalt roads,Wet or damp,Daylight,Snow
330,13:45:00,Sunday,Male, Church areas,Lorry (41?100Q),Double carriageway (median),No junction,Asphalt roads,Wet or damp,Daylight,Snow
332,7:44:00,Friday,Male,Residential areas,Lorry (41?100Q),One way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
333,15:35:00,Thursday,Male,Other,Lorry (41?100Q),One way,No junction,Asphalt roads,Dry,Daylight,Normal
334,20:00:00,Friday,Male,Other,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy
335,20:00:00,Friday,Male, Industrial areas,Public (13?45 seats),One way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy
336,20:00:00,Friday,Male, Church areas,Automobile,other,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy
337,17:46:00,Thursday,Male,Office areas,Other,other,Y Shape,Earth roads,Snow,Darkness - lights lit,Other
338,17:46:00,Thursday,Male,Office areas,Other,Undivided Two way,Y Shape,Asphalt roads,Snow,Darkness - lights lit,Other
339,17:46:00,Thursday,Male,Office areas,Other,Double carriageway (median),Y Shape,Asphalt roads,Snow,Darkness - lights lit,Other
340,14:20:00,Friday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
341,12:15:00,Sunday,Male,Office areas,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
342,12:15:00,Sunday,Unknown,Other,Lorry (41?100Q),Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
343,7:40:00,Tuesday,Male, Industrial areas,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
344,16:10:00,Wednesday,Male,Residential areas,Lorry (41?100Q),other,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
345,8:35:00,Wednesday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Wet or damp,Daylight,Windy
346,8:35:00,Wednesday,Male,Other,Lorry (41?100Q),One way,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy
347,8:40:00,Wednesday,Male,Other,Other,One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
348,18:49:00,Tuesday,Male,Other,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
350,12:46:00,Friday,Male,Residential areas,Public (> 45 seats),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
351,7:40:00,Wednesday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
352,7:40:00,Wednesday,Unknown,Office areas,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
353,6:00:00,Sunday,Female,Other,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
354,6:00:00,Sunday,Male,Other,Automobile,One way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
355,15:00:00,Saturday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
356,18:02:00,Wednesday,Male,Office areas,Pick up upto 10Q,Undivided Two way,Crossing,Asphalt roads,Dry,Darkness - no lighting,Normal
357,21:25:00,Thursday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
359,21:25:00,Thursday,Unknown,Residential areas,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
360,16:55:00,Friday,Male,Other,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
361,16:55:00,Friday,Male,Office areas,Stationwagen,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
362,16:55:00,Friday,Male,Office areas,Other,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
367,20:15:00,Monday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - no lighting,Normal
368,15:30:00,Tuesday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Other,Dry,Daylight,Normal
369,20:17:00,Thursday,Unknown, Church areas,Lorry (41?100Q),other,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
370,20:17:00,Thursday,Male, Industrial areas,Stationwagen,Undivided Two way,No junction,Other,Wet or damp,Darkness - lights lit,Normal
371,13:07:00,Sunday,Male,Other,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Wet or damp,Daylight,Raining
372,13:07:00,Sunday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Daylight,Raining
373,13:07:00,Sunday,Male,Office areas,Automobile,Undivided Two way,Crossing,Asphalt roads,Wet or damp,Daylight,Raining
374,16:30:00,Tuesday,Male,Other,Pick up upto 10Q,One way,Crossing,Asphalt roads,Dry,Daylight,Normal
375,16:30:00,Tuesday,Male,  Recreational areas,Taxi,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
377,17:40:00,Wednesday,Male, Church areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
379,18:32:00,Tuesday,Male,Office areas,Long lorry,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
380,18:32:00,Tuesday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
381,18:32:00,Tuesday,Male,Office areas,Pick up upto 10Q,Undivided Two way,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
383,18:35:00,Saturday,Male,Other,Other,One way,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
384,12:10:00,Friday,Male,Residential areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
385,12:10:00,Friday,Male,  Recreational areas,Automobile,One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
386,15:08:00,Monday,Male, Church areas,Pick up upto 10Q,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Unknown
387,15:08:00,Monday,Male,Other,Lorry (41?100Q),One way,Y Shape,Asphalt roads,Dry,Daylight,Unknown
388,15:08:00,Monday,Unknown,Other,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Unknown
389,15:08:00,Monday,Male,Other,Long lorry,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Unknown
390,8:54:00,Thursday,Male,Residential areas,Public (> 45 seats),other,Crossing,Asphalt roads,Dry,Daylight,Normal
391,16:51:00,Wednesday,Male,School areas,Public (> 45 seats),other,No junction,Asphalt roads,Dry,Daylight,Normal
392,19:02:00,Saturday,Male, Church areas,Automobile,Two-way (divided with broken lines road marking),Crossing,Earth roads,Wet or damp,Darkness - lights lit,Normal
393,19:02:00,Saturday,Male,Other,Automobile,other,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
394,8:10:00,Monday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Daylight,Fog or mist
395,8:10:00,Monday,Male,Office areas,Other,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Fog or mist
396,17:50:00,Saturday,Male,Office areas,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
397,17:50:00,Saturday,Male,Other,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
398,20:51:00,Tuesday,Male, Hospital areas,Stationwagen,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy
399,14:00:00,Saturday,Male,Other,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
400,14:00:00,Saturday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
